STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/28/2018,8.5,W,1521,W,0.06,W2400,0,W,0,W,47,HS,57,W,43,W,190,W,190,W,19.9,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/29/2018,11.63,W,1805,W,1.09,W2400,0,W,0,W,49,HS,52,W,43,W,190,W,210,W,23.9,W,33.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/30/2018,14.09,W,1441,W,0,TW2400,0,W,0,W,44,HS,47,W,39,W,200,W,190,W,23,W,30,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,1/31/2018,11.41,W,1953,W,0,TW2400,0,W,0,W,42,HS,45,W,39,W,200,W,200,W,19.9,W,23,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/1/2018,7.16,W,,,0.57,W2400,0,W,0,W,44,HS,46,W,43,W,180,W,190,W,13,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/2/2018,12.75,W,,,0.08,W2400,0,W,0,W,48,HS,53,W,45,W,210,W,200,W,23.9,W,33.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/3/2018,11.41,W,,,0.14,W2400,0,W,0,W,49,HS,51,W,48,W,200,W,190,W,21.9,W,27.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/4/2018,15.43,W,,,0.01,W2400,0,W,0,W,51,HS,55,W,49,W,200,W,220,W,25.9,W,35.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/5/2018,11.63,W,,,0.03,W2400,0,W,0,W,49,HS,50,W,46,W,230,W,230,W,21.9,W,29.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/6/2018,7.38,W,,,0.05,W2400,0,W,0,W,46,HS,48,W,44,W,200,W,210,W,14.1,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/7/2018,7.16,W,,,0,W2400,0,W,0,W,49,HS,54,W,47,W,200,W,190,W,17,W,21,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/8/2018,14.54,W,,,0.05,W2400,0,W,0,W,51,HS,53,W,42,W,220,W,240,W,23.9,W,31.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/9/2018,6.71,W,,,0,TW2400,0,W,0,W,44,HS,49,W,39,W,160,W,10,W,17,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/10/2018,5.37,W, 0216,W,0,W2400,0,W,0,W,40,HS,46,W,33,W,10,W,360,W,16.1,W,21,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/11/2018,7.83,W,1614,W,0,W2400,0,W,0,W,39,HS,46,W,33,W,330,W,330,W,19.9,W,25.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/12/2018,8.5,W, 0153,W,0,W2400,0,W,0,W,39,HS,47,W,32,W,350,W,350,W,18.1,W,21.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/13/2018,5.37,W,2156,W,0.14,W2400,0,W,0,W,37,HS,48,W,29,W,180,W,160,W,17,W,23,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/14/2018,8.05,W, 0327,W,0.1,W2400,0,W,0,W,40,HS,44,W,37,W,200,W,200,W,19.9,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/15/2018,7.83,W,2250,W,0.01,W2400,0,W,0,W,40,HS,45,W,36,W,190,W,220,W,14.1,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/16/2018,14.09,W,1033,W,0.11,W2400,0,W,0,W,42,HS,47,W,40,W,180,W,180,W,23,W,32,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/17/2018,20.13,W,1434,W,0.3,W2400,0,W,0,W,46,HS,49,W,39,W,230,W,230,W,33.1,W,49,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/18/2018,17.22,W,1835,W,0.06,W2400,0,TW,0,W,38,HS,39,W,30,W,330,W,340,W,32,W,42.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/19/2018,10.51,W, 0453,W,0,W2400,0,W,0,W,32,HS,37,W,28,W,350,W,350,W,23,W,32,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/20/2018,6.93,W,1634,W,0,TW2400,0,TW,0,W,31,HS,36,W,27,W,10,W,10,W,15,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/21/2018,8.28,W,1440,W,0.06,W2400,1,W,0,W,31,HS,34,W,26,W,190,W,190,W,16.1,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/22/2018,9.84,W,1056,W,0,TW2400,0,TW,1.2,W,31,HS,38,W,26,W,350,W,340,W,17,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/23/2018,11.18,W,2256,W,0.03,W2400,0,TW,0,W,30,HS,40,W,24,W,190,W,200,W,25.1,W,31.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/24/2018,10.74,W, 0356,W,0.06,W2400,0,TW,0,W,37,HS,45,W,36,W,210,W,180,W,23.9,W,30,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/25/2018,15.43,W, 0802,W,0.2,W2400,0,W,0,W,42,HS,43,W,35,W,220,W,200,W,28,W,35.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/26/2018,6.71,W,2357,W,0,W2400,0,W,0,W,37,HS,45,W,32,W,190,W,190,W,13,W,16.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/27/2018,15.21,W,1235,W,0.01,W2400,0,W,0,W,40,HS,47,W,37,W,210,W,210,W,29.1,W,38,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,2/28/2018,9.62,W,1752,W,0.15,W2400,0,W,0,W,42,HS,47,W,39,W,190,W,120,W,18.1,W,27.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/1/2018,7.61,W,,,0.03,W2400,0,W,0,W,44,HS,51,W,37,W,210,W,200,W,23.9,W,32,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/2/2018,5.82,W,,,0.18,W2400,0,W,0,W,42,HS,45,W,37,W,220,W,200,W,17,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/3/2018,8.5,W,,,0,W2400,0,W,0,W,41,HS,52,W,34,W,350,W,360,W,14.1,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/4/2018,8.05,W,,,0.13,W2400,0,W,0,W,40,HS,48,W,33,W,260,W,250,W,19.9,W,25.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/5/2018,6.04,W,,,0,W2400,0,W,0,W,41,HS,47,W,39,W,220,W,200,W,13,W,16.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/6/2018,9.62,W,,,0,W2400,0,W,0,W,44,HS,53,W,37,W,30,W,30,W,17,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/7/2018,9.4,W,,,0.04,W2400,0,W,0,W,43,HS,50,W,35,W,10,W,10,W,17,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/8/2018,12.3,W,,,0.35,W2400,0,W,0,W,45,HS,52,W,39,W,200,W,210,W,31.1,W,38.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/9/2018,9.17,W,,,0,TW2400,0,W,0,W,46,HS,52,W,40,W,200,W,210,W,25.1,W,35.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/10/2018,5.82,W,,,0,W2400,0,W,0,W,44,HS,59,W,34,W,110,W,120,W,13,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/11/2018,5.59,W,,,0,W2400,0,W,0,W,51,HS,64,W,39,W,60,W,300,W,10.1,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/12/2018,11.41,W,,,0,W2400,0,W,0,W,57,HS,73,W,42,W,110,W,120,W,23.9,W,32,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/13/2018,11.63,W,,,0.27,W2400,0,W,0,W,60,HS,64,W,44,W,120,W,120,W,25.1,W,36,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/14/2018,10.07,W,,,0.03,W2400,0,W,0,W,47,HS,53,W,40,W,200,W,200,W,19.9,W,33.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/15/2018,7.61,W,,,0,W2400,0,W,0,W,45,HS,56,W,35,W,20,W,20,W,18.1,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/16/2018,7.83,W,,,0,W2400,0,W,0,W,47,HS,58,W,39,W,10,W,310,W,18.1,W,23,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/17/2018,7.61,W,,,0,W2400,0,W,0,W,46,HS,54,W,38,W,230,W,210,W,16.1,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/18/2018,6.93,W,,,0,W2400,0,W,0,W,46,HS,55,W,39,W,210,W,210,W,12.1,W,15,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/19/2018,4.25,W,,,0,W2400,0,W,0,W,45,HS,55,W,37,W,50,W,330,W,10.1,W,15,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/20/2018,4.92,W,,,0,W2400,0,W,0,W,46,HS,56,W,36,W,30,W,30,W,13,W,15,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/21/2018,4.03,W,,,0.1,W2400,0,W,0,W,46,HS,58,W,36,W,160,W,240,W,8.9,W,14.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/22/2018,10.07,W,,,0.46,W2400,0,W,0,W,47,HS,49,W,39,W,210,W,210,W,23.9,W,32,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/23/2018,8.5,W,,,0.35,W2400,0,TW,0,W,41,HS,49,W,34,W,200,W,210,W,19.9,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/24/2018,6.93,W,,,0.23,W2400,0,TW,0,W,41,HS,47,W,34,W,200,W,200,W,16.1,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/25/2018,8.28,W,,,0.04,W2400,0,W,0,W,43,HS,52,W,37,W,250,W,200,W,17,W,21,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/26/2018,14.54,W,,,0.15,W2400,0,W,0,W,44,HS,46,W,40,W,200,W,200,W,23,W,29.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/27/2018,15.21,W,,,0.08,W2400,0,W,0,W,47,HS,52,W,45,W,200,W,200,W,25.9,W,35.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/28/2018,6.71,W,,,0,W2400,0,W,0,W,47,HS,54,W,44,W,200,W,210,W,14.1,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/29/2018,7.61,W,,,0,W2400,0,W,0,W,48,HS,55,W,43,W,220,W,230,W,13,W,17,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/30/2018,9.62,W,,,0,W2400,0,W,0,W,50,HS,57,W,46,W,200,W,210,W,18.1,W,23,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,3/31/2018,5.59,W,,,0,W2400,0,W,0,W,50,HS,59,W,45,W,220,W,220,W,15,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/1/2018,14.99,W,,,0,TW2400,0,W,0,W,47,HS,50,W,38,W,210,W,210,W,25.9,W,34,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/2/2018,11.63,W,,,0,W2400,0,W,0,W,43,HS,53,W,36,W,220,W,200,W,21,W,27.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/3/2018,6.04,W,,,0,W2400,0,W,0,W,45,HS,50,W,39,W,200,W,200,W,14.1,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/4/2018,4.92,W,,,0.29,W2400,0,W,0,W,45,HS,50,W,41,W,80,W,80,W,10.1,W,13,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/5/2018,6.49,W,,,0.21,W2400,0,W,0,W,49,HS,56,W,46,W,100,W,170,W,14.1,W,16.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/6/2018,6.71,W,,,0.05,W2400,0,W,0,W,54,HS,65,W,49,W,90,W,180,W,14.1,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/7/2018,11.18,W,,,0.82,W2400,0,W,0,W,57,HS,62,W,46,W,200,W,210,W,21.9,W,30,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/8/2018,16.11,W,,,0.39,W2400,0,W,0,W,48,HS,51,W,46,W,170,W,220,W,23.9,W,30,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/9/2018,6.71,W,,,0,W2400,0,W,0,W,50,HS,62,W,44,W,200,W,200,W,14.1,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/10/2018,10.74,W,,,0.18,W2400,0,W,0,W,54,HS,60,W,46,W,200,W,190,W,23.9,W,31.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/11/2018,10.29,W,,,0.21,W2400,0,W,0,W,51,HS,54,W,42,W,200,W,220,W,25.9,W,38,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/12/2018,11.86,W,,,0.11,W2400,0,W,0,W,45,HS,51,W,41,W,220,W,230,W,19.9,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/13/2018,14.32,W,,,0.66,W2400,0,W,0,W,47,HS,53,W,43,W,190,W,200,W,25.1,W,33.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/14/2018,6.26,W,,,1.7,W2400,0,W,0,W,49,HS,53,W,45,W,160,W,160,W,17,W,21.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/15/2018,10.07,W,,,0.12,W2400,0,W,0,W,47,HS,51,W,43,W,360,W,360,W,21.9,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/16/2018,14.32,W,,,0.59,W2400,0,W,0,W,45,HS,47,W,41,W,200,W,210,W,25.1,W,35.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/17/2018,14.54,W,,,0.01,W2400,0,W,0,W,46,HS,53,W,42,W,220,W,220,W,28,W,34,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/18/2018,7.61,W,,,0,W2400,0,W,0,W,48,HS,60,W,41,W,20,W,360,W,15,W,21,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/19/2018,5.37,W,,,0,W2400,0,W,0,W,51,HS,62,W,41,W,50,W,320,W,12.1,W,16.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/20/2018,6.71,W,,,0,W2400,0,W,0,W,53,HS,63,W,43,W,240,W,250,W,16.1,W,21,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/21/2018,12.75,W,,,0.03,W2400,0,W,0,W,51,HS,56,W,45,W,190,W,210,W,23.9,W,29.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/22/2018,9.62,W,,,0,W2400,0,W,0,W,50,HS,59,W,44,W,40,W,340,W,17,W,21,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/23/2018,11.41,W,,,0,W2400,0,W,0,W,53,HS,69,W,41,W,340,W,350,W,23,W,27.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/24/2018,11.18,W,,,0,W2400,0,W,0,W,63,HS,77,W,49,W,10,W,10,W,21,W,23.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/25/2018,10.51,W,,,0,W2400,0,W,0,W,63,HS,75,W,51,W,30,W,30,W,18.1,W,21.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/26/2018,8.28,W,,,0,W2400,0,W,0,W,65,HS,82,W,51,W,350,W,350,W,16.1,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/27/2018,10.96,W,,,0.01,W2400,0,W,0,W,58,HS,58,W,49,W,220,W,210,W,23.9,W,29.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/28/2018,8.05,W,,,0.31,W2400,0,W,0,W,51,HS,55,W,47,W,210,W,210,W,15,W,19,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/29/2018,9.84,W,,,0,W2400,0,W,0,W,52,HS,61,W,46,W,220,W,220,W,16.1,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,4/30/2018,6.93,W,,,0,TW2400,0,W,0,W,51,HS,59,W,47,W,200,W,210,W,12.1,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/1/2018,5.37,W,,,0,TW2400,0,W,0,W,52,HS,62,W,48,W,300,W,330,W,10.1,W,13,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/2/2018,5.14,W,,,0,W2400,0,W,0,W,55,HS,70,W,45,W,360,W,280,W,12.1,W,15,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/3/2018,7.16,W,,,0,W2400,0,W,0,W,61,HS,74,W,50,W,220,W,210,W,21,W,25.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/4/2018,7.61,W,,,0,W2400,0,W,0,W,56,HS,64,W,50,W,30,W,360,W,16.1,W,19.9,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/5/2018,8.05,W,,,0.01,W2400,0,W,0,W,57,HS,68,W,48,W,20,W,20,W,15,W,18.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/6/2018,6.26,W,,,0,W2400,0,W,0,W,62,HS,77,W,52,W,220,W,220,W,18.1,W,23,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/7/2018,5.82,W,,,0,W2400,0,W,0,W,58,HS,69,W,53,W,280,W,260,W,12.1,W,16.1,W
USW00024233,SEATTLE TACOMA AIRPORT WA US,47.44467,-122.31442,112.5,5/8/2018,6.04,W,,,0.03,W2400,0,W,0,W,62,HS,75,W,50,W,220,W,210,W,19.9,W,25.9,W
